Model,Scenario,Region,Variable,Unit,2005,2010
model_a,scen_a,World,Emissions|CO2,Mt CO2,10.0,14.0
model_a,scen_a,World,Emissions|CO2|AFOLU,Mt CO2,3.0,4.0
model_a,scen_a,World,Emissions|CO2|Bunkers,Mt CO2,1.0,2.0
model_a,scen_a,World,Emissions|CO2|Energy,Mt CO2,6.0,8.0
model_a,scen_a,World,Population,million,3.0,5.0
model_a,scen_a,World,Price|Carbon,USD/t CO2,4.0,27.0
model_a,scen_a,World,Primary Energy,EJ/yr,12.0,15.0
model_a,scen_a,World,Primary Energy|Coal,EJ/yr,9.0,10.0
model_a,scen_a,World,Primary Energy|Wind,EJ/yr,3.0,5.0
model_a,scen_a,reg_a,Emissions|CO2,Mt CO2,6.0,8.0
model_a,scen_a,reg_a,Emissions|CO2|AFOLU,Mt CO2,2.0,3.0
model_a,scen_a,reg_a,Emissions|CO2|Energy,Mt CO2,4.0,5.0
model_a,scen_a,reg_a,Population,million,1.5,2.5
model_a,scen_a,reg_a,Price|Carbon,USD/t CO2,1.0,30.0
model_a,scen_a,reg_a,Primary Energy,EJ/yr,8.0,9.0
model_a,scen_a,reg_a,Primary Energy|Coal,EJ/yr,6.0,6.0
model_a,scen_a,reg_a,Primary Energy|Wind,EJ/yr,2.0,3.0
model_a,scen_a,reg_b,Emissions|CO2,Mt CO2,3.0,4.0
model_a,scen_a,reg_b,Emissions|CO2|AFOLU,Mt CO2,1.0,1.0
model_a,scen_a,reg_b,Emissions|CO2|Energy,Mt CO2,2.0,3.0
model_a,scen_a,reg_b,Population,million,1.5,2.5
model_a,scen_a,reg_b,Price|Carbon,USD/t CO2,10.0,21.0
model_a,scen_a,reg_b,Primary Energy,EJ/yr,4.0,6.0
model_a,scen_a,reg_b,Primary Energy|Coal,EJ/yr,3.0,4.0
model_a,scen_a,reg_b,Primary Energy|Wind,EJ/yr,1.0,2.0
